,langname,glottocode,word,count,id,year,simple_elaboration,regression_elaboration,dictsize_data,countryname,bila_language_name_mapping,response_mean,response_std,dictionary_count_mean
0,Afrikaans,afri1274,admiration,6.0,mdp.39015054154474,1999.0,2.8170072115384617e-05,-3.291631743964164,212992.0,South Africa,Afrikaans,2.9464285714285716,1.7129043125759196,27.87853403141361
1,Afrikaans,afri1274,anger,55.0,mdp.39015054154474,1999.0,0.0002582256610576,-6.74114677059297,212992.0,South Africa,Afrikaans,2.7857142857142856,1.803043330307193,27.87853403141361
2,Afrikaans,afri1274,anxiety,30.0,mdp.39015054154474,1999.0,0.0001408503605769,-2.655448970454322,212992.0,South Africa,Afrikaans,3.5357142857142856,1.765171412591456,27.87853403141361
3,Afrikaans,afri1274,boredom,5.0,mdp.39015054154474,1999.0,2.3475060096153847e-05,-1.1763124133489875,212992.0,South Africa,Afrikaans,2.2410714285714284,1.8899713316586668,27.87853403141361
4,Afrikaans,afri1274,compassion,15.0,mdp.39015054154474,1999.0,7.042518028846153e-05,-2.918471665684296,212992.0,South Africa,Afrikaans,4.196428571428571,1.5057803682391788,27.87853403141361
5,Afrikaans,afri1274,confusion,44.0,mdp.39015054154474,1999.0,0.0002065805288461,-3.4282333673036867,212992.0,South Africa,Afrikaans,3.0267857142857144,1.9930501837006098,27.87853403141361
6,Afrikaans,afri1274,determination,20.0,mdp.39015054154474,1999.0,9.39002403846154e-05,-1.0696966560490606,212992.0,South Africa,Afrikaans,3.6964285714285716,1.5702142260127174,27.87853403141361
7,Afrikaans,afri1274,disgust,14.0,mdp.39015054154474,1999.0,6.573016826923077e-05,-3.33065666176297,212992.0,South Africa,Afrikaans,2.580357142857143,1.819010684767924,27.87853403141361
8,Afrikaans,afri1274,fear,120.0,mdp.39015054154474,1999.0,0.0005634014423076,-4.503630816376931,212992.0,South Africa,Afrikaans,2.8839285714285716,1.9113013146996776,27.87853403141361
9,Afrikaans,afri1274,frustration,4.0,mdp.39015054154474,1999.0,1.878004807692308e-05,-1.4792337659791517,212992.0,South Africa,Afrikaans,3.9910714285714284,1.5796882787167401,27.87853403141361
10,Afrikaans,afri1274,gratitude,7.0,mdp.39015054154474,1999.0,3.286508413461538e-05,-3.1149528000775364,212992.0,South Africa,Afrikaans,4.946428571428571,1.2722915816454454,27.87853403141361
11,Afrikaans,afri1274,hope,34.0,mdp.39015054154474,1999.0,0.0001596304086538,1.421988439434709,212992.0,South Africa,Afrikaans,3.9464285714285716,1.5354037278398822,27.87853403141361
12,Afrikaans,afri1274,loneliness,5.0,mdp.39015054154474,1999.0,2.3475060096153847e-05,-1.6531190049194535,212992.0,South Africa,Afrikaans,2.2767857142857144,1.9964374641502172,27.87853403141361
13,Afrikaans,afri1274,love,278.0,mdp.39015054154474,1999.0,0.0013052133413461,1.015226415963199,212992.0,South Africa,Afrikaans,4.517857142857143,1.3948563351199275,27.87853403141361
14,Afrikaans,afri1274,pleasure,108.0,mdp.39015054154474,1999.0,0.0005070612980769,-2.312933646330637,212992.0,South Africa,Afrikaans,3.6875,1.6053472022088058,27.87853403141361
15,Afrikaans,afri1274,regret,39.0,mdp.39015054154474,1999.0,0.00018310546875,-1.0786784049318558,212992.0,South Africa,Afrikaans,2.0982142857142856,1.8886089138155706,27.87853403141361
16,Afrikaans,afri1274,relief,80.0,mdp.39015054154474,1999.0,0.0003756009615384,5.233310083754237,212992.0,South Africa,Afrikaans,2.5267857142857144,1.5651602193470517,27.87853403141361
17,Afrikaans,afri1274,sadness,9.0,mdp.39015054154474,1999.0,4.225510817307692e-05,-2.7183527596651405,212992.0,South Africa,Afrikaans,3.1607142857142856,1.8722899763310588,27.87853403141361
18,Arabic,stan1318,admiration,4.0,mdp.39015043036436,1999.0,5.503804504863987e-05,-1.2831893972974948,72677.0,Egypt,Arabic,2.5474722564734895,1.8865745030904097,10.594314868804664
19,Arabic,stan1318,anger,49.0,mdp.39015043036436,1999.0,0.0006742160518458,-0.0522233175751321,72677.0,Egypt,Arabic,4.067817509247842,1.7424511035140955,10.594314868804664
20,Arabic,stan1318,anxiety,22.0,mdp.39015043036436,1999.0,0.0003027092477675,1.10833300610831,72677.0,Egypt,Arabic,4.100985221674877,1.7122605719104746,10.594314868804664
21,Arabic,stan1318,boredom,5.0,mdp.39015043036436,1999.0,6.879755631079983e-05,1.2881247795097617,72677.0,Egypt,Arabic,4.683886838868388,1.6931326511442935,10.594314868804664
22,Arabic,stan1318,compassion,20.0,mdp.39015043036436,1999.0,0.0002751902252431,2.51272189538305,72677.0,Egypt,Arabic,4.1730061349693255,1.7108578444290399,10.594314868804664
23,Arabic,stan1318,confusion,32.0,mdp.39015043036436,1999.0,0.0004403043603891,1.0648251815734058,72677.0,Egypt,Arabic,3.21840490797546,1.9423901555655072,10.594314868804664
24,Arabic,stan1318,determination,20.0,mdp.39015043036436,1999.0,0.0002751902252431,3.539640882018792,72677.0,Egypt,Arabic,3.161090458488228,1.72884528094759,10.594314868804664
25,Arabic,stan1318,disgust,28.0,mdp.39015043036436,1999.0,0.0003852663153404,4.333984887677935,72677.0,Egypt,Arabic,3.1037037037037036,2.0576634440693145,10.594314868804664
26,Arabic,stan1318,fear,57.0,mdp.39015043036436,1999.0,0.0007842921419431,-1.0504244611150506,72677.0,Egypt,Arabic,3.55679012345679,1.9536937392032474,10.594314868804664
27,Arabic,stan1318,frustration,16.0,mdp.39015043036436,1999.0,0.0002201521801945,6.448570702087284,72677.0,Egypt,Arabic,3.4194341943419433,2.007980671963027,10.594314868804664
